"YYYYMMDD","HOLIDAY"
"20000213","Y"
"20000214","N"
"20000215","N"
"20000216","N"
"20000217","N"
"20000218","N"
"20000219","Y"
"20000220","Y"
"20000221","N"
"20000222","N"
"20000223","N"
"20000224","N"
"20000225","N"
"20000226","Y"
"20000227","Y"
"20000228","N"
"20000229","N"
"20000301","N"
"20000302","N"
"20000303","N"
"20000304","Y"
"20000305","Y"
"20000306","N"
"20000307","N"
"20000308","N"
"20000309","N"
"20000310","N"
"20000311","Y"
"20000312","Y"
"20000313","N"
"20000314","N"
"20000315","N"
"20000316","N"
"20000317","N"
"20000318","Y"
"20000319","Y"
"20000320","N"
"20000321","N"
"20000322","N"
"20000323","N"
"20000324","N"
"20000325","Y"
"20000326","Y"
"20000618","Y"
"20000619","N"
"20000620","N"
"20000621","N"
"20000622","N"
"20000623","N"
"20000624","Y"
"20000625","Y"
"20000626","N"
"20000627","N"
"20000628","N"
"20000629","N"
"20000630","N"
"20000701","Y"
"20000702","Y"
"20000703","N"
"20000704","N"
"20000705","N"
"20000706","N"
"20000707","N"
"20000708","Y"
"20000709","Y"
"20000710","N"
"20000711","N"
"20000712","N"
"20000713","N"
"20000714","N"
"20000715","Y"
"20000716","Y"
"20000717","N"
"20000718","N"
"20000719","N"
"20000720","N"
"20000721","N"
"20000722","Y"
"20000723","Y"
"20000724","N"
"20000725","N"
"20000726","N"
"20000727","N"
"20000728","N"
"20000327","N"
"20000328","N"
"20000329","N"
"20000330","N"
"20000331","N"
"20000401","Y"
"20000402","Y"
"20000403","N"
"20000404","N"
"20000405","N"
"20000406","N"
"20000407","N"
"20000408","Y"
"20000409","Y"
"20000410","N"
"20000411","N"
"20000412","N"
"20000413","N"
"20000414","N"
"20000415","Y"
"20000416","Y"
"20000417","N"
"20000418","N"
"20000419","N"
"20000420","N"
"20000421","N"
"20000422","Y"
"20000423","Y"
"20000424","N"
"20000425","N"
"20000426","N"
"20000427","N"
"20000428","N"
"20000429","Y"
"20000430","Y"
"20000501","N"
"20000502","N"
"20000503","N"
"20000504","N"
"20000505","N"
"20000506","Y"
"20000507","Y"
"20000508","N"
"20000509","N"
"20000510","N"
"20000511","N"
"20000512","N"
"20000513","Y"
"20000514","Y"
"20000515","N"
"20000516","N"
"20000517","N"
"20000518","N"
"20000519","N"
"20000520","Y"
"20000521","Y"
"20000522","N"
"20000523","N"
"20000524","N"
"20000525","N"
"20000526","N"
"20000527","Y"
"20000528","Y"
"20000529","N"
"20000530","N"
"20000531","N"
"20000601","N"
"20000602","N"
"20000603","Y"
"20000604","Y"
"20000605","N"
"20000606","N"
"20000607","N"
"20000608","N"
"20000609","N"
"20000610","Y"
"20000611","Y"
"20000612","N"
"20000613","N"
"20000614","N"
"20000615","N"
"20000616","N"
"20000617","Y"
"20000103","N"
"20000104","N"
"20000105","N"
"20000106","N"
"20000107","N"
"20000108","Y"
"20000109","Y"
"20000110","N"
"20000111","N"
"20000112","N"
"20000113","N"
"20000114","N"
"20000115","Y"
"20000116","Y"
"20000117","N"
"20000118","N"
"20000119","N"
"20000120","N"
"20000121","N"
"20000122","Y"
"20000123","Y"
"20000124","N"
"20000125","N"
"20000126","N"
"20000127","N"
"20000128","N"
"20000129","Y"
"20000130","Y"
"20000131","N"
"20000201","N"
"20000202","N"
"20000101","Y"
"20000102","Y"
"20000203","N"
"20000204","N"
"20000205","Y"
"20000206","Y"
"20000207","N"
"20000208","N"
"20000209","N"
"20000210","N"
"20000211","N"
"20000212","Y"
"20010514","N"
"20010515","N"
"20010516","N"
"20010517","N"
"20010518","N"
"20010519","Y"
"20010520","Y"
"20010521","N"
"20010522","N"
"20010523","N"
"20010524","N"
"20010525","N"
"20010526","Y"
"20010527","Y"
"20010528","N"
"20010529","N"
"20010530","N"
"20010531","N"
"20010601","N"
"20010602","Y"
"20010603","Y"
"20010604","N"
"20010605","N"
"20010606","N"
"20010607","N"
"20010608","N"
"20010609","Y"
"20010610","Y"
"20010611","N"
